tag,timestamp,area,uptime,reviewed,approved,implemented,implementation_status
total_air_flow,2017-09-05 23:00:00,area_1,True,True,True,True,1.0175054215695227
total_air_flow,2017-09-06 02:00:00,area_1,False,False,False,False,0.9687599153847435
total_air_flow,2017-09-06 05:00:00,area_1,True,True,False,False,1.4212627891607652
total_air_flow,2017-09-06 08:00:00,area_1,False,False,False,False,-0.023504191381129136
total_air_flow,2017-09-06 11:00:00,area_1,False,False,False,False,0.13523890078064882
total_air_flow,2017-09-06 14:00:00,area_1,True,False,False,False,-0.234768612663534
total_air_flow,2017-09-06 17:00:00,area_1,True,True,True,True,1.1593623184718627
total_air_flow,2017-09-06 20:00:00,area_1,True,True,True,True,0.941689289627336
total_air_flow,2017-09-06 23:00:00,area_1,True,True,True,True,1.052790504967401
total_air_flow,2017-09-07 02:00:00,area_1,True,True,False,False,1.0249761091839968
total_air_flow,2017-09-07 05:00:00,area_1,True,True,True,True,0.84080689689422
total_air_flow,2017-09-07 08:00:00,area_1,True,False,False,False,0.9427404225246443
total_air_flow,2017-09-07 11:00:00,area_1,True,False,False,False,0.7568003040371892
total_air_flow,2017-09-07 14:00:00,area_1,True,False,False,False,0.4538225810556096
total_air_flow,2017-09-07 17:00:00,area_1,True,True,True,False,1.1282525469949953
total_air_flow,2017-09-07 20:00:00,area_1,True,True,True,True,0.9853267255419788
total_air_flow,2017-09-07 23:00:00,area_1,True,False,False,False,0.472426969017408
total_air_flow,2017-09-08 02:00:00,area_1,True,True,True,True,0.8149087401243407
total_air_flow,2017-09-08 05:00:00,area_1,True,True,True,True,0.8935630682024364
total_air_flow,2017-09-08 08:00:00,area_1,True,True,True,True,0.9329271056480611
total_air_flow,2017-09-08 11:00:00,area_1,True,True,True,False,1.6225715454688814
total_air_flow,2017-09-08 14:00:00,area_1,False,False,False,False,1.188419036501227
total_air_flow,2017-09-08 17:00:00,area_1,True,True,True,True,1.0201384137961524
total_air_flow,2017-09-08 20:00:00,area_1,True,True,True,False,0.5261422160232838
total_air_flow,2017-09-08 23:00:00,area_1,False,False,False,False,0.7136396365464868
total_air_flow,2017-09-09 02:00:00,area_1,False,False,False,False,1.6113147703383333
total_air_flow,2017-09-09 05:00:00,area_1,True,False,False,False,0.6592867485260916
total_air_flow,2017-09-09 08:00:00,area_1,True,True,True,True,1.0068838886992542
total_air_flow,2017-09-09 11:00:00,area_1,True,True,True,True,0.931765302943933
total_air_flow,2017-09-09 14:00:00,area_1,True,True,True,True,1.0027759856689735
total_air_flow,2017-09-09 17:00:00,area_1,True,True,False,False,1.6178501095095918
total_air_flow,2017-09-09 20:00:00,area_1,True,True,True,True,1.1114946054114954
total_air_flow,2017-09-09 23:00:00,area_1,True,True,True,False,0.6914745894159349
amina_flow,2017-09-05 23:00:00,area_1,True,False,False,False,1.1811580808141833
amina_flow,2017-09-06 02:00:00,area_1,True,False,False,False,1.2569195499214907
amina_flow,2017-09-06 05:00:00,area_1,True,True,True,True,0.8921848902793288
amina_flow,2017-09-06 08:00:00,area_1,True,True,True,True,0.884751767148715
amina_flow,2017-09-06 11:00:00,area_1,True,True,True,True,0.9750336925583343
amina_flow,2017-09-06 14:00:00,area_1,True,True,True,True,1.141301318068392
amina_flow,2017-09-06 17:00:00,area_1,True,True,False,False,0.16351700689922333
amina_flow,2017-09-06 20:00:00,area_1,False,False,False,False,1.0215422280355102
amina_flow,2017-09-06 23:00:00,area_1,True,False,False,False,0.21137766004201342
amina_flow,2017-09-07 02:00:00,area_1,True,True,True,True,1.0372725892861208
amina_flow,2017-09-07 05:00:00,area_1,True,False,False,False,0.8468817977056388
amina_flow,2017-09-07 08:00:00,area_1,False,False,False,False,2.020340567710205
amina_flow,2017-09-07 11:00:00,area_1,True,True,False,False,1.2719739537472534
amina_flow,2017-09-07 14:00:00,area_1,False,False,False,False,0.46955100443583
amina_flow,2017-09-07 17:00:00,area_1,False,False,False,False,1.781611809215627
amina_flow,2017-09-07 20:00:00,area_1,True,True,False,False,0.2295697305046327
amina_flow,2017-09-07 23:00:00,area_1,True,True,True,True,1.1909831113058127
amina_flow,2017-09-08 02:00:00,area_1,False,False,False,False,1.9094487445126194
amina_flow,2017-09-08 05:00:00,area_1,True,False,False,False,1.2037082314069825
amina_flow,2017-09-08 08:00:00,area_1,False,False,False,False,1.3656649728100352
amina_flow,2017-09-08 11:00:00,area_1,True,False,False,False,1.2763605077266986
amina_flow,2017-09-08 14:00:00,area_1,True,False,False,False,0.9440071839079207
amina_flow,2017-09-08 17:00:00,area_1,True,True,True,True,1.1560924141428952
amina_flow,2017-09-08 20:00:00,area_1,True,False,False,False,0.26323792548838243
amina_flow,2017-09-08 23:00:00,area_1,True,True,True,True,1.1946596175703
amina_flow,2017-09-09 02:00:00,area_1,True,True,True,True,0.8732232470178668
amina_flow,2017-09-09 05:00:00,area_1,True,True,True,False,1.440250051582757
amina_flow,2017-09-09 08:00:00,area_1,True,True,True,True,0.855811171565331
amina_flow,2017-09-09 11:00:00,area_1,True,True,True,True,0.9644782141329885
amina_flow,2017-09-09 14:00:00,area_1,True,True,True,True,0.909726429049067
amina_flow,2017-09-09 17:00:00,area_1,True,True,True,True,0.8504574156410756
amina_flow,2017-09-09 20:00:00,area_1,True,True,True,True,0.9075371414002074
amina_flow,2017-09-09 23:00:00,area_1,False,False,False,False,0.8873183845915389
starch_flow,2017-09-05 23:00:00,area_1,True,True,True,True,1.1906830339950496
starch_flow,2017-09-06 02:00:00,area_1,True,True,True,True,0.9224953726692363
starch_flow,2017-09-06 05:00:00,area_1,True,True,True,True,0.9245112853535209
starch_flow,2017-09-06 08:00:00,area_1,True,True,True,True,1.1485608849445255
starch_flow,2017-09-06 11:00:00,area_1,True,True,True,True,1.114463665089677
starch_flow,2017-09-06 14:00:00,area_1,True,True,True,True,1.0281225735803803
starch_flow,2017-09-06 17:00:00,area_1,True,True,True,True,1.1507702819588357
starch_flow,2017-09-06 20:00:00,area_1,True,True,False,False,2.130665350836827
starch_flow,2017-09-06 23:00:00,area_1,False,False,False,False,0.8737392377624005
starch_flow,2017-09-07 02:00:00,area_1,True,True,True,False,-0.4028782442698111
starch_flow,2017-09-07 05:00:00,area_1,True,True,True,False,0.4353461547750975
starch_flow,2017-09-07 08:00:00,area_1,True,False,False,False,0.6785535064702732
starch_flow,2017-09-07 11:00:00,area_1,True,True,True,True,0.8955706372852463
starch_flow,2017-09-07 14:00:00,area_1,True,True,True,True,1.1685865527495236
starch_flow,2017-09-07 17:00:00,area_1,False,False,False,False,0.7595327888728289
starch_flow,2017-09-07 20:00:00,area_1,True,True,True,True,1.114790507323242
starch_flow,2017-09-07 23:00:00,area_1,False,False,False,False,0.9504383084142976
starch_flow,2017-09-08 02:00:00,area_1,True,True,True,True,1.15260612143837
starch_flow,2017-09-08 05:00:00,area_1,True,False,False,False,1.0452138872667807
starch_flow,2017-09-08 08:00:00,area_1,True,True,True,True,1.1853289191410088
starch_flow,2017-09-08 11:00:00,area_1,True,True,True,True,1.1212198698485654
starch_flow,2017-09-08 14:00:00,area_1,True,True,True,False,1.1195578853047718
starch_flow,2017-09-08 17:00:00,area_1,True,True,True,True,1.034503615989513
starch_flow,2017-09-08 20:00:00,area_1,True,True,False,False,0.1439470788865408
starch_flow,2017-09-08 23:00:00,area_1,True,False,False,False,1.0966438714601565
starch_flow,2017-09-09 02:00:00,area_1,True,False,False,False,1.3949003621786455
starch_flow,2017-09-09 05:00:00,area_1,True,True,True,False,1.5159907197888642
starch_flow,2017-09-09 08:00:00,area_1,True,True,True,True,1.0327086259378633
starch_flow,2017-09-09 11:00:00,area_1,False,False,False,False,0.8068028953132913
starch_flow,2017-09-09 14:00:00,area_1,True,False,False,False,1.020407265856258
starch_flow,2017-09-09 17:00:00,area_1,False,False,False,False,1.5306345471585598
starch_flow,2017-09-09 20:00:00,area_1,True,True,True,True,0.9104166473656418
starch_flow,2017-09-09 23:00:00,area_1,False,False,False,False,1.114843756346249
total_column_level,2017-09-05 23:00:00,area_2,False,False,False,False,1.6435347714030348
total_column_level,2017-09-06 02:00:00,area_2,True,False,False,False,0.9133785734627071
total_column_level,2017-09-06 05:00:00,area_2,True,False,False,False,0.8251086385625156
total_column_level,2017-09-06 08:00:00,area_2,True,True,True,True,1.179951025044909
total_column_level,2017-09-06 11:00:00,area_2,False,False,False,False,1.8199767173693346
total_column_level,2017-09-06 14:00:00,area_2,True,True,True,True,1.1284952742292043
total_column_level,2017-09-06 17:00:00,area_2,True,True,True,False,0.6425195062934763
total_column_level,2017-09-06 20:00:00,area_2,True,True,True,True,0.9260317746458869
total_column_level,2017-09-06 23:00:00,area_2,True,True,True,True,1.0629632504459816
total_column_level,2017-09-07 02:00:00,area_2,True,True,True,True,1.07000125196757
total_column_level,2017-09-07 05:00:00,area_2,False,False,False,False,0.8953877016849554
total_column_level,2017-09-07 08:00:00,area_2,True,True,True,True,1.1733474698653503
total_column_level,2017-09-07 11:00:00,area_2,True,True,True,True,0.8254686855668869
total_column_level,2017-09-07 14:00:00,area_2,True,False,False,False,1.0701794965876088
total_column_level,2017-09-07 17:00:00,area_2,True,False,False,False,1.269942934809277
total_column_level,2017-09-07 20:00:00,area_2,True,False,False,False,1.090819556190131
total_column_level,2017-09-07 23:00:00,area_2,True,True,False,False,0.8727540443983832
total_column_level,2017-09-08 02:00:00,area_2,True,True,True,True,0.9186212902645352
total_column_level,2017-09-08 05:00:00,area_2,True,False,False,False,0.5315079405285338
total_column_level,2017-09-08 08:00:00,area_2,True,True,True,False,0.47941892274630205
total_column_level,2017-09-08 11:00:00,area_2,True,True,True,True,0.8451352127279178
total_column_level,2017-09-08 14:00:00,area_2,True,True,True,True,0.9030018423747735
total_column_level,2017-09-08 17:00:00,area_2,True,True,True,True,0.8642318488095673
total_column_level,2017-09-08 20:00:00,area_2,True,True,True,True,1.0558938489011966
total_column_level,2017-09-08 23:00:00,area_2,True,False,False,False,2.106730486573544
total_column_level,2017-09-09 02:00:00,area_2,False,False,False,False,0.8650353356335168
total_column_level,2017-09-09 05:00:00,area_2,False,False,False,False,1.4522450255413568
total_column_level,2017-09-09 08:00:00,area_2,True,True,True,True,0.8489536442678463
total_column_level,2017-09-09 11:00:00,area_2,True,True,True,False,1.5853724030911185
total_column_level,2017-09-09 14:00:00,area_2,True,True,False,False,0.4249187623649726
total_column_level,2017-09-09 17:00:00,area_2,False,False,False,False,1.4509071369932345
total_column_level,2017-09-09 20:00:00,area_2,True,True,False,False,1.1777415619400486
total_column_level,2017-09-09 23:00:00,area_2,True,False,False,False,1.2075237128890524
ore_pulp_ph,2017-09-05 23:00:00,area_2,True,True,True,True,0.8248806990090485
ore_pulp_ph,2017-09-06 02:00:00,area_2,True,True,False,False,0.7678791363682822
ore_pulp_ph,2017-09-06 05:00:00,area_2,True,False,False,False,1.6821793005563666
ore_pulp_ph,2017-09-06 08:00:00,area_2,True,True,True,True,0.8487200915587586
ore_pulp_ph,2017-09-06 11:00:00,area_2,False,False,False,False,0.7962694206393426
ore_pulp_ph,2017-09-06 14:00:00,area_2,True,True,True,True,1.038534013625359
ore_pulp_ph,2017-09-06 17:00:00,area_2,False,False,False,False,1.9834788212776773
ore_pulp_ph,2017-09-06 20:00:00,area_2,True,True,True,True,0.933252389894151
ore_pulp_ph,2017-09-06 23:00:00,area_2,True,True,True,False,1.685742908453889
ore_pulp_ph,2017-09-07 02:00:00,area_2,False,False,False,False,0.7664692493481574
ore_pulp_ph,2017-09-07 05:00:00,area_2,True,True,True,False,1.0956386872177304
ore_pulp_ph,2017-09-07 08:00:00,area_2,False,False,False,False,0.6275206000437874
ore_pulp_ph,2017-09-07 11:00:00,area_2,False,False,False,False,0.8453206086610389
ore_pulp_ph,2017-09-07 14:00:00,area_2,True,True,True,True,1.0548920779563444
ore_pulp_ph,2017-09-07 17:00:00,area_2,True,False,False,False,0.6200120953731271
ore_pulp_ph,2017-09-07 20:00:00,area_2,True,True,True,True,0.9762795529094173
ore_pulp_ph,2017-09-07 23:00:00,area_2,False,False,False,False,1.0207355209888973
ore_pulp_ph,2017-09-08 02:00:00,area_2,True,True,False,False,0.8154444572574966
ore_pulp_ph,2017-09-08 05:00:00,area_2,False,False,False,False,0.5571471482998265
ore_pulp_ph,2017-09-08 08:00:00,area_2,True,True,True,True,0.8241683953639938
ore_pulp_ph,2017-09-08 11:00:00,area_2,True,True,True,True,0.8987703418490542
ore_pulp_ph,2017-09-08 14:00:00,area_2,True,False,False,False,0.8502344840805605
ore_pulp_ph,2017-09-08 17:00:00,area_2,True,False,False,False,0.3925223481904344
ore_pulp_ph,2017-09-08 20:00:00,area_2,True,True,True,True,1.0375935076506544
ore_pulp_ph,2017-09-08 23:00:00,area_2,True,False,False,False,0.9142291922905736
ore_pulp_ph,2017-09-09 02:00:00,area_2,True,True,True,True,1.035814766667338
ore_pulp_ph,2017-09-09 05:00:00,area_2,True,True,True,False,1.002059370539437
ore_pulp_ph,2017-09-09 08:00:00,area_2,True,False,False,False,1.702624355413306
ore_pulp_ph,2017-09-09 11:00:00,area_2,False,False,False,False,0.9672656295624954
ore_pulp_ph,2017-09-09 14:00:00,area_2,True,True,True,False,1.786997858683411
ore_pulp_ph,2017-09-09 17:00:00,area_2,True,True,True,True,0.851972453464514
ore_pulp_ph,2017-09-09 20:00:00,area_2,False,False,False,False,0.32217848123816206
ore_pulp_ph,2017-09-09 23:00:00,area_2,False,False,False,False,0.8472053615560582
ore_pulp_density,2017-09-05 23:00:00,area_2,True,True,True,True,0.9190873682660634
ore_pulp_density,2017-09-06 02:00:00,area_2,False,False,False,False,1.13436406012556
ore_pulp_density,2017-09-06 05:00:00,area_2,True,True,True,True,1.1252646529141075
ore_pulp_density,2017-09-06 08:00:00,area_2,True,True,True,True,1.041797077699401
ore_pulp_density,2017-09-06 11:00:00,area_2,True,True,True,True,0.9821980327970394
ore_pulp_density,2017-09-06 14:00:00,area_2,False,False,False,False,1.186081028760368
ore_pulp_density,2017-09-06 17:00:00,area_2,True,True,True,True,0.9026483138690302
ore_pulp_density,2017-09-06 20:00:00,area_2,True,True,True,True,1.1519297550709218
ore_pulp_density,2017-09-06 23:00:00,area_2,True,True,True,True,1.0453555693931942
ore_pulp_density,2017-09-07 02:00:00,area_2,True,True,True,False,0.5350503869979524
ore_pulp_density,2017-09-07 05:00:00,area_2,True,True,True,True,0.9559856614644052
ore_pulp_density,2017-09-07 08:00:00,area_2,True,True,False,False,0.22407464661732224
ore_pulp_density,2017-09-07 11:00:00,area_2,True,True,True,True,0.8075406733481072
ore_pulp_density,2017-09-07 14:00:00,area_2,True,True,True,True,1.071459546466039
ore_pulp_density,2017-09-07 17:00:00,area_2,True,True,True,False,1.4265737419033686
ore_pulp_density,2017-09-07 20:00:00,area_2,True,True,True,True,1.0989069711162203
ore_pulp_density,2017-09-07 23:00:00,area_2,True,False,False,False,1.2826835626738537
ore_pulp_density,2017-09-08 02:00:00,area_2,True,True,True,True,1.182767866492544
ore_pulp_density,2017-09-08 05:00:00,area_2,True,True,True,True,1.0615019378139532
ore_pulp_density,2017-09-08 08:00:00,area_2,False,False,False,False,0.5547915458150661
ore_pulp_density,2017-09-08 11:00:00,area_2,True,True,True,True,0.8417366682300685
ore_pulp_density,2017-09-08 14:00:00,area_2,True,True,True,True,0.9847661444324708
ore_pulp_density,2017-09-08 17:00:00,area_2,True,True,True,True,1.0960552274397677
ore_pulp_density,2017-09-08 20:00:00,area_2,True,True,True,True,0.8523239105074574
ore_pulp_density,2017-09-08 23:00:00,area_2,True,True,True,True,1.151439295079507
ore_pulp_density,2017-09-09 02:00:00,area_2,True,True,True,True,0.8690311053658614
ore_pulp_density,2017-09-09 05:00:00,area_2,True,True,False,False,-0.09917033585811263
ore_pulp_density,2017-09-09 08:00:00,area_2,True,True,False,False,0.8212751497722222
ore_pulp_density,2017-09-09 11:00:00,area_2,True,True,True,True,0.8353405513510621
ore_pulp_density,2017-09-09 14:00:00,area_2,True,False,False,False,0.5102276908583065
ore_pulp_density,2017-09-09 17:00:00,area_2,True,True,False,False,0.5508913148178498
ore_pulp_density,2017-09-09 20:00:00,area_2,False,False,False,False,0.8103812644785144
ore_pulp_density,2017-09-09 23:00:00,area_2,False,False,False,False,1.3921234294611553
ore_pulp_flow,2017-09-05 23:00:00,area_2,False,False,False,False,-0.04611197922114929
ore_pulp_flow,2017-09-06 02:00:00,area_2,True,True,True,False,0.7504442088883002
ore_pulp_flow,2017-09-06 05:00:00,area_2,True,True,True,True,0.9359988034867956
ore_pulp_flow,2017-09-06 08:00:00,area_2,True,True,False,False,-0.0902032103507151
ore_pulp_flow,2017-09-06 11:00:00,area_2,True,True,True,False,0.9192989231242882
ore_pulp_flow,2017-09-06 14:00:00,area_2,True,True,True,True,1.0156397328374476
ore_pulp_flow,2017-09-06 17:00:00,area_2,True,True,True,True,1.051609337696195
ore_pulp_flow,2017-09-06 20:00:00,area_2,False,False,False,False,1.9085587810464075
ore_pulp_flow,2017-09-06 23:00:00,area_2,True,False,False,False,0.9859958001624638
ore_pulp_flow,2017-09-07 02:00:00,area_2,True,True,True,True,0.9878300488566715
ore_pulp_flow,2017-09-07 05:00:00,area_2,True,True,True,True,1.1638932605027423
ore_pulp_flow,2017-09-07 08:00:00,area_2,True,True,True,True,1.0200126886763892
ore_pulp_flow,2017-09-07 11:00:00,area_2,True,True,False,False,0.5407912989015611
ore_pulp_flow,2017-09-07 14:00:00,area_2,True,True,False,False,0.22745088279304349
ore_pulp_flow,2017-09-07 17:00:00,area_2,True,True,True,True,0.8740494340760951
ore_pulp_flow,2017-09-07 20:00:00,area_2,True,True,True,True,0.8569438808541103
ore_pulp_flow,2017-09-07 23:00:00,area_2,True,True,True,True,0.9746054573847462
ore_pulp_flow,2017-09-08 02:00:00,area_2,True,True,True,True,1.1074226668876725
ore_pulp_flow,2017-09-08 05:00:00,area_2,False,False,False,False,0.6970153193842904
ore_pulp_flow,2017-09-08 08:00:00,area_2,True,True,True,True,0.8322835956415047
ore_pulp_flow,2017-09-08 11:00:00,area_2,True,True,False,False,1.6700344318120284
ore_pulp_flow,2017-09-08 14:00:00,area_2,True,True,True,True,1.1839988012095808
ore_pulp_flow,2017-09-08 17:00:00,area_2,True,False,False,False,1.4027517813790702
ore_pulp_flow,2017-09-08 20:00:00,area_2,False,False,False,False,1.2349578567353747
ore_pulp_flow,2017-09-08 23:00:00,area_2,True,True,False,False,0.6439177440797901
ore_pulp_flow,2017-09-09 02:00:00,area_2,True,True,True,False,1.1038461978214666
ore_pulp_flow,2017-09-09 05:00:00,area_2,True,True,True,True,1.0739738338919436
ore_pulp_flow,2017-09-09 08:00:00,area_2,True,True,True,True,0.8382844614367063
ore_pulp_flow,2017-09-09 11:00:00,area_2,False,False,False,False,1.5990067269083454
ore_pulp_flow,2017-09-09 14:00:00,area_2,True,True,True,True,1.0506774999411213
ore_pulp_flow,2017-09-09 17:00:00,area_2,True,False,False,False,0.5572935192649358
ore_pulp_flow,2017-09-09 20:00:00,area_2,True,True,True,True,1.021183623610664
ore_pulp_flow,2017-09-09 23:00:00,area_2,True,True,True,True,0.9443881848152991
